region,gdp_size,gdp_mean,gdp_std,fdi_size,fdi_mean,fdi_std,it_size,it_mean,it_std
East China,78,6070.604230769231,3500.3727023140327,78,355577.89743589744,275635.8667464745,78,1775615.4871794872,1153029.618894848
North China,48,4239.038541666667,2866.705149235096,48,169600.58333333334,127011.47590868922,48,1733718.7291666667,1548793.9608628869
Northeast China,36,3849.076944444444,1948.5318350210234,36,136623.75,142734.49523210668,36,2665148.1666666665,1768441.6375609103
Northwest China,60,1340.0261666666668,1174.3997389219614,60,15111.133333333333,22954.193559086812,60,1703537.75,1446408.2730575213
South Central China,68,4835.5408823529415,3697.1299154351036,68,218931.42647058822,339981.39982289006,68,2500961.705882353,2196435.69600512
Southwest China,60,2410.3988333333336,2144.589993929219,60,25405.083333333332,31171.37387568957,60,2424971.4,2002198.0886467975
