,Year,fiscalrevenue,soerevenue,specific,nightlights,latitude,longitude,population_log
81,1996,9610.0,-56.0,1445.0,1.284986,45.37,126.3,
82,1996,10707.0,285.0,1829.0,0.011019447,44.92,127.18,
83,1996,7314.0,362.0,1680.0,0.14769933,46.07,127.4,
84,1996,3163.0,182.0,1163.0,-0.78209466,45.97,128.07,
85,1996,3180.0,129.0,1180.0,-0.8390380999999999,45.98,128.72,
86,1996,2874.0,51.0,2986.0,,45.47,128.33,
87,1996,11771.0,2073.0,1688.0,-0.36754984,45.23,127.95,
88,1996,62285.0,10783.0,10513.0,2.143298,29.949932,122.29993,
89,1996,90293.0,13576.0,6999.0,3.6282377,31.3742,121.4835,13.490878
90,1996,86206.0,14979.0,15026.0,3.9522160000000004,31.006739000000003,121.40313,13.235054000000002
91,1996,58243.0,10644.0,14286.0,4.1185093,31.2516,121.3929,13.631019
92,1996,260687.0,47019.0,142632.0,4.0087004,31.23,121.52,14.228316
93,1996,29841.0,2046.0,21494.0,1.7338148000000002,31.63,121.4,13.477216
94,1996,,,3052.0,3.0543332000000003,31.65,120.72,
95,1996,12278.0,971.0,870.0,,27.33,117.48,12.603381
96,1996,9162.0,583.0,1516.0,-0.41579297,27.35,118.11667,12.712709
97,1996,7641.0,506.0,895.0,,26.8,117.8,12.390728999999999
98,1996,11862.0,429.0,1129.0,-0.7458452,27.05,118.33,13.123885999999999
99,1996,6330.0,124.0,2066.0,-0.98068047,27.93,118.53,12.875817999999999
100,1996,4353.0,914.0,929.0,-1.3674912000000001,27.53,117.35,11.916455000000001
101,1996,2825.0,207.0,1246.0,-0.37859622,27.52,118.78,11.954400999999999
102,1996,3269.0,324.0,1425.0,-0.9671963,27.37,118.85,12.241416000000001
103,1996,15005.0,3300.0,2685.0,2.5413492000000004,25.03,118.8,14.033818
104,1996,37296.0,4947.0,1559.0,3.5126405,24.82,118.58,13.802072
105,1996,23383.0,2525.0,1700.0,3.8459449999999995,24.73,118.63,12.57243
106,1996,26468.0,5710.0,1930.0,2.1459452999999997,24.95,118.38,14.197157999999998
107,1996,10907.0,1065.0,2789.0,1.0755589,25.08,118.18,13.839108
108,1996,10375.0,1031.0,1455.0,1.1093912000000001,25.32,118.3,13.173112
109,1996,7732.0,780.0,822.0,,25.5,118.27,12.608186
110,1996,21720.0,1238.0,1634.0,3.0987263,24.5175,117.6909,
111,1996,6639.0,532.0,570.0,1.1939753,24.62,117.77,12.125844
112,1996,10204.0,1138.0,848.0,0.6149937,24.5,117.37,12.724575
113,1996,14461.0,412.0,1749.0,1.0233124,24.1,117.62,13.561285
114,1996,9821.0,295.0,1153.0,0.6996558,23.72,117.18,13.215289000000002
115,1996,12596.0,2928.0,1417.0,3.2427447,34.8181,113.2799,
116,1996,6583.0,419.0,1610.0,1.6071848999999998,34.72,114.02,13.377858999999999
117,1996,16355.0,1270.0,942.0,2.3673759999999997,34.4,113.71667,13.293904999999999
118,1996,12763.0,2065.0,1899.0,2.076221,34.45,113.03333,13.297310999999999
119,1996,6065.0,547.0,1676.0,,34.8,114.8,13.455672
120,1996,4667.0,331.0,776.0,0.95376164,34.47,114.47,13.231292000000002
121,1996,7289.0,713.0,1189.0,1.2216489,34.4,114.17,13.632712
122,1996,4782.0,740.0,1229.0,1.2549368,34.75,114.43,13.434842999999999
123,1996,4782.0,740.0,1229.0,3.7549794000000003,34.777504,114.34871000000001,
124,1996,6590.0,413.0,962.0,2.0071425,34.82,112.43,12.962263
125,1996,7560.0,2483.0,2015.0,1.3077159999999999,34.72,112.15,13.127799
126,1996,7441.0,1733.0,2212.0,1.6474046999999998,34.43,112.43,13.454281
127,1996,2667.0,248.0,1976.0,0.09736305,34.15,112.45,12.908339
128,1996,4565.0,805.0,1870.0,,33.78,111.6,12.615267999999999
129,1996,4027.0,-117.0,2709.0,0.79897994,34.52,112.17,13.34685
130,1996,4441.0,183.0,1972.0,-0.36269164,34.38,111.65,12.955011
131,1996,3903.0,-4.0,1930.0,0.6451814,33.73,112.88,13.601451999999998
132,1996,5040.0,247.0,1129.0,1.6840540000000002,33.87,113.05,13.056619
133,1996,4134.0,149.0,1609.0,1.2897546999999998,33.62,113.35,13.629788000000001
134,1996,5293.0,692.0,1183.0,1.4950515,33.97,113.2,13.204104999999998
135,1996,3680.0,-131.0,402.0,1.4511073,33.28,113.5,12.673306
136,1996,5216.0,701.0,1386.0,1.6833078000000001,35.92,114.35,12.980696
137,1996,9098.0,3019.0,2215.0,1.4107531,35.57,114.52,13.960776999999998
138,1996,4640.0,561.0,1834.0,1.5545171,35.95,114.88,13.416324
139,1996,4459.0,368.0,1657.0,1.4102986000000002,35.9,115.12,13.390113000000001
140,1996,3639.0,321.0,1116.0,1.3746933000000001,36.069614,115.20476000000001,13.068593
141,1996,1639.0,220.0,2469.0,0.9923076999999999,36.0,115.85,12.705771
142,1996,4868.0,1621.0,1418.0,1.6551685,35.05308,113.967064,13.319978
143,1996,4182.0,1411.0,1268.0,1.4815377,35.141953,114.20518999999999,12.992867
144,1996,4833.0,1378.0,2139.0,1.5079936,35.041187,114.418884,13.450142000000001
145,1996,4927.0,602.0,1944.0,1.8655131,35.18,114.68,13.513243
146,1996,13220.0,3313.0,1220.0,1.5349781999999998,35.45,113.78,13.542879999999998
147,1996,6024.0,1492.0,828.0,2.4257855,35.2346,113.1785,
148,1996,11038.0,1854.0,866.0,2.127818,35.15,113.05,12.922997
149,1996,17613.0,2200.0,935.0,1.8114065,35.08,112.95,12.690857000000001
150,1996,7045.0,1570.0,900.0,1.7389169999999998,34.93,113.07,12.862644
151,1996,4045.0,991.0,1984.0,1.6628630000000002,35.6,114.2,12.391373
152,1996,4045.0,991.0,1984.0,1.0459380999999999,34.53,114.78,13.818612
153,1996,3046.0,603.0,957.0,,34.2,113.78,13.3962
154,1996,10254.0,1021.0,683.0,1.3372793,34.1,114.18,13.300251999999999
155,1996,21865.0,5243.0,3151.0,0.9664818000000001,33.43,113.58,13.283388
156,1996,5845.0,1474.0,717.0,1.6304576000000002,33.83392,113.93646000000001,13.410954
157,1996,33045.0,5760.0,6166.0,2.3269908,34.72,111.92,11.839895
158,1996,1759.0,-240.0,362.0,1.0509715,34.77,111.77,12.667892
159,1996,15538.0,4260.0,1020.0,-1.2006534,34.05,111.03,12.810227000000001
160,1996,7770.0,223.0,2348.0,1.176186,33.94197,116.36633,13.701892
161,1996,4008.0,100.0,1588.0,1.0848836000000002,34.22,116.12,13.520069
162,1996,5357.0,533.0,2076.0,1.1909542,34.37,115.85,14.050867000000002
163,1996,5568.0,1441.0,1326.0,,34.45,115.32,13.627453
164,1996,3856.0,359.0,1746.0,0.9066016,34.43,115.05,13.25884
165,1996,3531.0,111.0,1331.0,,34.63,115.13,13.908191
166,1996,5521.0,218.0,2063.0,0.75732625,34.05,114.37,13.433606
167,1996,6536.0,467.0,1694.0,,33.78,114.52,13.615259
168,1996,6605.0,173.0,1954.0,1.1404771999999999,33.53,114.58,13.898984
169,1996,7493.0,484.0,2160.0,,34.05,114.87,14.055791000000001
170,1996,7214.0,46.0,2111.0,,33.85,115.47,13.897407000000001
171,1996,5685.0,387.0,1738.0,0.8537091999999998,33.63,115.2,14.011426
172,1996,5466.0,62.0,2044.0,1.2596273,33.72,114.87,14.047738
173,1996,9396.0,2071.0,1032.0,,33.85,113.47,13.561748999999999
174,1996,9396.0,2071.0,1032.0,1.2716066000000001,33.43,114.9,13.889035999999999
175,1996,5296.0,201.0,1445.0,0.7220983,32.8,114.02,13.258795000000001
176,1996,7236.0,551.0,1052.0,1.0713888,33.13,113.98,13.293064000000001
177,1996,9537.0,2056.0,1031.0,,33.38,114.02,13.59936
178,1996,8688.0,741.0,2004.0,0.5674418999999999,33.27,114.27,14.057139000000001
179,1996,6600.0,195.0,1807.0,0.45654875,33.0,114.35,13.598795999999998
180,1996,4539.0,103.0,1831.0,-0.40267885,32.95,114.62,13.699755
181,1996,5528.0,953.0,2177.0,0.42138400000000004,32.75,114.97,13.790469
182,1996,5500.0,456.0,1348.0,0.090233326,32.62,114.37,13.481604999999998
183,1996,12038.0,1689.0,2167.0,0.72821856,32.68,112.82,13.503022
184,1996,7743.0,516.0,1778.0,0.70849854,33.25,112.98,13.778241
185,1996,9066.0,983.0,970.0,0.93655944,33.03,112.22,13.736382
186,1996,5828.0,298.0,933.0,,33.03,112.93,13.347729999999999
187,1996,8098.0,2895.0,911.0,0.98912233,32.52,112.37,13.332507000000001
188,1996,7118.0,1211.0,798.0,0.7833437,33.03,111.83,14.04075
189,1996,6829.0,1914.0,1841.0,-0.40209502,33.13,111.47,13.298604999999998
190,1996,5607.0,622.0,761.0,-0.33453596,33.3,111.48,13.469985999999999
191,1996,4446.0,187.0,2580.0,,33.48,112.4,12.952099
192,1996,8166.0,3395.0,1880.0,0.38235524,32.35,113.4,12.92807
193,1996,8090.0,308.0,133.0,,32.488914,114.04358,13.835253
194,1996,4003.0,89.0,2751.0,0.33306265,32.2,114.52,13.469192999999999
195,1996,4630.0,440.0,1957.0,0.36040515,32.02,114.9,13.539217
196,1996,6627.0,434.0,2143.0,0.22955151,32.12,115.03,13.528837
197,1996,6668.0,603.0,3305.0,0.6157349,32.17,115.68,14.209204000000001
198,1996,5325.0,595.0,2384.0,-0.10288306,32.35,114.72,13.688719
199,1996,4629.0,-95.0,1371.0,0.30748472,32.43,115.38,13.327154
200,1996,10240.0,731.0,-2011.0,,32.152363,114.071045,12.618198
201,1996,19647.0,383.0,1489.0,-0.11239673,31.17,112.57,
202,1996,11732.0,1033.0,1252.0,-0.66255873,31.01847,113.119576,
203,1996,89410.0,1025.0,12865.0,,30.6961,111.2484,
204,1996,5952.0,289.0,1799.0,0.12699471,29.82,115.22,
205,1996,30811.0,1549.0,1891.0,0.6468788000000001,30.422625,113.45031999999999,
206,1996,28006.0,348.0,1955.0,1.1951286,30.43,112.88,
207,1996,11426.0,1025.0,1476.0,0.5664142,32.38,111.67,
208,1996,4699.0,512.0,241.0,1.0328351,26.501225,101.7402,12.099829
209,1996,1604.0,52.0,221.0,1.0328351,26.501225,101.7402,12.099829
210,1996,7537.0,559.0,811.0,0.6164361999999999,25.42,110.35,12.745705000000001
211,1996,8361.0,394.0,1101.0,-0.7792743000000001,25.95,111.05,13.551895000000002
212,1996,7040.0,221.0,1010.0,-0.3594985,25.62,110.67,12.825732
213,1996,4788.0,167.0,710.0,,24.98,109.98,12.486824
214,1996,8728.0,773.0,885.0,0.20907477,24.61729,110.38908,12.803276
215,1996,2734.0,187.0,725.0,-1.2812694,25.48,111.13,12.517764999999999
216,1996,2154.0,364.0,1198.0,-1.7278214,26.03,110.63,12.009535000000001
217,1996,7747.0,287.0,1110.0,0.16538902,22.921173,110.98663,13.505792999999999
218,1996,7249.0,179.0,1210.0,-0.37376943,23.37,110.88,13.672547
219,1996,5196.0,456.0,700.0,-1.7781407,24.18,110.8,12.853667999999999
220,1996,2288.0,74.0,629.0,-1.2536802,24.2,110.53,12.177807000000001
221,1996,6232.0,47.0,699.0,0.25672784,24.52,111.3,13.009547999999999
222,1996,8752.0,195.0,823.0,-0.13228905,22.87,110.53,13.474485999999999
223,1996,12088.0,594.0,1096.0,-0.32141212,22.27,109.97,14.104132
224,1996,9768.0,553.0,886.0,0.36199012,21.916666,110.33333600000002,14.027548000000001
225,1996,12447.0,435.0,1106.0,0.41960603,22.7,110.35,13.898447
226,1996,17213.0,2330.0,1502.0,0.76674956,32.43581,105.84663,
227,1996,17213.0,2330.0,1502.0,1.4286698999999998,29.5553,103.76161,13.163356
228,1996,17213.0,2330.0,1502.0,1.3540983999999998,29.587096999999996,105.06792,13.176292000000002
229,1996,13898.0,735.0,1886.0,-0.32535657,30.0,104.13,14.223170000000001
230,1996,3984.0,163.0,1041.0,,29.93,103.37,12.733300999999999
231,1996,4766.0,373.0,831.0,1.2597713,30.22,103.85,12.658806
232,1996,2267.0,231.0,854.0,-0.78006274,28.97,103.92,12.43753
233,1996,1769.0,126.0,638.0,0.115406945,29.831264,103.84655,12.211164
234,1996,2047.0,450.0,556.0,,30.03,103.53,11.9884205
235,1996,7136.0,556.0,1930.0,-0.119899854,31.35,106.03,14.060147
236,1996,6101.0,159.0,1087.0,-0.47484973,31.08,106.53,13.676032000000001
237,1996,5003.0,252.0,1176.0,,31.03,106.4,13.414760000000001
238,1996,4398.0,43.0,1528.0,-0.6266203,31.52,106.38,13.790588
239,1996,3901.0,135.0,1305.0,-0.19746454,30.995255,105.900826,13.387354
240,1996,5961.0,108.0,2007.0,0.10041384,31.578823,105.96745,13.656832000000001
241,1996,6091.0,701.0,1900.0,1.9749161,24.9,102.8,11.891656
242,1996,21873.0,622.0,5578.0,1.7179432000000001,24.85,102.5,12.3826275
243,1996,4376.0,708.0,3542.0,0.58796346,25.221923999999998,102.49757,11.794450999999999
244,1996,8698.0,270.0,2636.0,0.8173015,24.67,102.58,12.444215
245,1996,11327.0,46.0,3659.0,1.1944801,24.919607,103.141426,12.845502999999999
246,1996,11327.0,46.0,3659.0,-2.1821544,27.62,104.05,13.057274000000001
247,1996,10843.0,184.0,3122.0,0.64465106,25.35,103.02,12.676382
248,1996,1519.0,-63.0,4420.0,-1.6070513000000002,26.92,102.95,13.085411
249,1996,1802.0,-46.0,3701.0,-0.4917939,28.07,104.27,12.71603
250,1996,1293.0,-49.0,3113.0,-1.8530447,27.73,103.92,12.384495
